Player,Pos,Age,Team,MinutesPlayed,FGpct,FTpct,TwoPointAttempt,TwoPointPct,ThreePointAttempt,ThreePointPct,twos_per_min
Precious Achiuwa,C,22,TOR,1725,0.439,0.595,447,0.468,156,0.359,0.2591304347826087
Steven Adams,C,28,MEM,1999,0.547,0.543,383,0.548,1,0,0.19159579789894948
Nickeil Alexander-Walker,SG,23,TOT,1466,0.372,0.743,342,0.433,338,0.311,0.23328785811732605
Grayson Allen,SG,26,MIL,1805,0.448,0.865,180,0.533,389,0.409,0.0997229916897507
Kyle Anderson,PF,28,MEM,1484,0.446,0.638,360,0.481,109,0.33,0.24258760107816713
Giannis Antetokounmpo,PF,27,MIL,2204,0.553,0.722,1003,0.616,242,0.293,0.45508166969147007
Carmelo Anthony,PF,37,LAL,1793,0.441,0.83,326,0.521,397,0.375,0.18181818181818182
Cole Anthony,PG,21,ORL,2059,0.391,0.854,521,0.432,391,0.338,0.25303545410393397
Deni Avdija,SF,21,WAS,1984,0.432,0.757,320,0.525,259,0.317,0.16129032258064516
Deandre Ayton,C,23,PHO,1713,0.634,0.746,678,0.642,19,0.368,0.3957968476357268
LaMelo Ball,PG,20,CHO,2422,0.429,0.872,689,0.462,565,0.389,0.28447563996696945
Mo Bamba,C,23,ORL,1824,0.48,0.781,336,0.563,281,0.381,0.18421052631578946
Desmond Bane,SG,23,MEM,2266,0.461,0.903,578,0.484,523,0.436,0.25507502206531335
Dalano Banton,PG,22,TOR,696,0.411,0.591,151,0.464,51,0.255,0.21695402298850575
Harrison Barnes,PF,29,SAC,2580,0.469,0.826,474,0.525,360,0.394,0.18372093023255814
Scottie Barnes,PF,20,TOR,2617,0.492,0.735,739,0.543,193,0.301,0.2823844096293466
RJ Barrett,SF,21,NYK,2417,0.408,0.714,790,0.442,404,0.342,0.32685146876292925
Will Barton,SG,31,DEN,2277,0.438,0.803,466,0.504,430,0.365,0.204655248133509
Keita Bates-Diop,SF,26,SAS,957,0.517,0.754,208,0.572,55,0.309,0.2173458725182863
Nicolas Batum,PF,33,LAC,1463,0.463,0.658,117,0.607,270,0.4,0.07997265892002735
Darius Bazley,PF,21,OKC,1924,0.422,0.688,380,0.511,269,0.297,0.19750519750519752
Malik Beasley,SG,25,MIN,1976,0.391,0.817,213,0.432,637,0.377,0.10779352226720648
Patrick Beverley,PG,33,MIN,1476,0.406,0.722,194,0.485,242,0.343,0.13143631436314362
