Indicator,short_name,Subgroup,time_period_label,time_period_start_date,Value,LowCI,HighCI
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,18 - 29 years,"Aug 19 - Aug 31, 2020",2020-08-19,18.7,17.2,20.3
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,30 - 39 years,"Aug 19 - Aug 31, 2020",2020-08-19,18.3,17.3,19.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,40 - 49 years,"Aug 19 - Aug 31, 2020",2020-08-19,20.4,19.5,21.3
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,50 - 59 years,"Aug 19 - Aug 31, 2020",2020-08-19,21.2,20.2,22.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,60 - 69 years,"Aug 19 - Aug 31, 2020",2020-08-19,19.7,18.7,20.7
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,70 - 79 years,"Aug 19 - Aug 31, 2020",2020-08-19,18.4,17,19.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,80 years and above,"Aug 19 - Aug 31, 2020",2020-08-19,13.8,11,17
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,18 - 29 years,"Aug 19 - Aug 31, 2020",2020-08-19,12.2,10.9,13.7
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,30 - 39 years,"Aug 19 - Aug 31, 2020",2020-08-19,11.7,11,12.6
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,40 - 49 years,"Aug 19 - Aug 31, 2020",2020-08-19,10,9.4,10.5
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,50 - 59 years,"Aug 19 - Aug 31, 2020",2020-08-19,8.4,7.6,9.2
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,60 - 69 years,"Aug 19 - Aug 31, 2020",2020-08-19,5.4,4.9,6
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,70 - 79 years,"Aug 19 - Aug 31, 2020",2020-08-19,4.1,3.4,5
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,80 years and above,"Aug 19 - Aug 31, 2020",2020-08-19,3,2,4.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,18 - 29 years,"Aug 19 - Aug 31, 2020",2020-08-19,23.3,21.5,25.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,30 - 39 years,"Aug 19 - Aug 31, 2020",2020-08-19,23.1,22.1,24.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,40 - 49 years,"Aug 19 - Aug 31, 2020",2020-08-19,23.6,22.8,24.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,50 - 59 years,"Aug 19 - Aug 31, 2020",2020-08-19,23.9,22.8,25.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,60 - 69 years,"Aug 19 - Aug 31, 2020",2020-08-19,21.2,20.2,22.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,70 - 79 years,"Aug 19 - Aug 31, 2020",2020-08-19,19.6,18.1,21.1
