Aitkin 	2
Anoka 	93
Becker 	21
Beltrami 	10
Benton 	12
Big Stone 	2
Blue Earth 	1
Brown 	4
Carlton 	4
Carver 	7
Cass 	3
Chippewa 	4
Chisago 	19
Clay 	19
Clearwater 	2
Cook 	1
Crow Wing 	12
Dakota 	85
Dodge 	3
Douglas 	7
Faribault 	1
Fillmore 	1
Freeborn 	2
Goodhue 	4
Grant 	2
Hennepin 	234
Hubbard 	3
Isanti 	23
Itasca 	16
Jackson 	2
Kanabec 	1
Kandiyohi 	26
Lac qui Parle 	1
Lake of the Woods 	2
Le Sueur 	5
Martin 	3
McLeod 	3
Meeker 	4
Mille Lacs 	12
Morrison 	6
Mower 	2
Murray 	4
Nobles 	5
Olmsted 	10
Otter Tail 	22
Pennington 	1
Polk 	5
Pope 	1
Ramsey 	116
Renville 	2
Rice 	13
Rock 	4
Roseau 	2
Scott 	23
Sherburne 	12
Sibley 	2
St. Louis 	37
Stearns 	31
Steele 	9
Swift 	6
Todd 	6
Traverse 	1
Wabasha 	2
Wadena 	9
Waseca 	2
Washington 	142
Wilkin 	2
Wright 	30
