Aitkin  	-93.81 	-93.05 	47.16 	46.15
Anoka  	-93.51 	-93.02 	45.42 	45.03
Becker  	-96.19 	-95.17 	47.16 	46.71
Beltrami  	-95.60 	-94.41 	48.55 	47.41
Benton  	-94.35 	-93.76 	45.83 	45.55
Big Stone  	-96.81 	-96.12 	45.61 	45.15
Blue Earth  	-94.37 	-93.76 	44.27 	43.84
Brown  	-94.37 	-94.11 	44.51 	44.09
Carlton  	-93.07 	-92.28 	46.77 	46.41
Carver  	-94.01 	-93.52 	44.99 	44.63
Cass  	-94.80 	-93.78 	47.49 	46.27
Chippewa  	-96.02 	-95.24 	45.17 	44.73
Chisago  	-93.14 	-92.64 	45.73 	45.29
Clay  	-96.81 	-96.18 	47.27 	46.61
Clearwater  	-95.59 	-95.17 	48.02 	47.15
Cook  	-91.07 	-89.46 	48.21 	47.24
Cottonwood  	-95.47 	-94.86 	44.21 	43.83
Crow Wing  	-94.40 	-93.77 	46.81 	46.15
Dakota  	-93.33 	-92.73 	44.93 	44.47
Dodge  	-93.05 	-92.67 	44.20 	43.84
Douglas  	-95.76 	-95.14 	46.12 	45.74
Faribault  	-94.25 	-93.64 	43.86 	43.49
Fillmore  	-92.45 	-91.72 	43.85 	43.50
Freeborn  	-93.65 	-93.04 	43.85 	43.49
Goodhue  	-93.04 	-92.23 	44.71 	44.19
Grant  	-96.26 	-95.76 	46.12 	45.74
Hennepin  	-93.77 	-93.17 	45.25 	44.78
Houston  	-91.74 	-91.20 	43.85 	43.50
Hubbard  	-95.17 	-94.66 	47.42 	46.79
Isanti  	-93.51 	-93.01 	45.74 	45.41
Itasca  	-94.41 	-93.05 	47.90 	47.01
Jackson  	-95.46 	-94.85 	43.86 	43.48
Kanabec  	-93.52 	-93.05 	46.16 	45.72
Kandiyohi  	-95.25 	-94.76 	45.42 	44.88
Kittson  	-97.20 	-96.40 	49.03 	48.51
Koochiching  	-94.43 	-93.08 	48.71 	47.85
Lac qui Parle  	-96.45 	-95.75 	45.29 	44.78
Lake  	-91.80 	-91.02 	48.21 	46.92
Lake of the Woods  	-95.34 	-94.45 	49.40 	48.35
Le Sueur  	-94.03 	-93.52 	44.55 	44.19
Lincoln  	-96.45 	-96.08 	44.65 	44.18
Lyon  	-96.08 	-95.59 	44.65 	44.18
McLeod  	-94.50 	-94.01 	44.99 	44.62
Mahnomen  	-96.07 	-95.55 	47.51 	47.13
Marshall  	-97.15 	-95.60 	48.59 	48.12
Martin  	-94.86 	-94.24 	43.86 	43.49
Meeker  	-94.76 	-94.25 	45.34 	44.88
Mille Lacs  	-93.81 	-93.43 	46.25 	45.55
Morrison  	-94.65 	-93.77 	46.36 	45.77
Mower  	-93.05 	-92.44 	43.85 	43.49
Murray  	-96.07 	-95.46 	44.21 	43.83
Nicollet  	-94.78 	-93.92 	44.47 	44.14
Nobles  	-96.05 	-95.45 	43.87 	43.48
Norman  	-96.85 	-96.06 	47.53 	47.12
Olmsted  	-92.69 	-92.07 	44.20 	43.83
Otter Tail  	-96.27 	-95.15 	46.74 	46.08
Pennington  	-96.50 	-95.59 	48.20 	47.90
Pine  	-93.15 	-92.28 	46.42 	45.72
Pipestone  	-96.46 	-96.06 	44.21 	43.83
Polk  	-97.10 	-95.58 	48.22 	47.45
Pope  	-95.75 	-95.13 	45.80 	45.39
Ramsey  	-93.23 	-92.98 	45.13 	44.88
Red Lake  	-96.48 	-95.71 	47.99 	47.74
Redwood  	-95.60 	-94.87 	44.71 	44.18
Renville  	-95.47 	-94.49 	44.91 	44.44
Rice  	-93.53 	-93.03 	44.55 	44.19
Rock  	-96.05 	-95.46 	43.86 	43.48
Roseau  	-96.40 	-95.09 	49.04 	48.51
St. Louis  	-93.00 	-91.75 	48.50 	46.50
Scott  	-93.92 	-93.27 	44.82 	44.54
Sherburne  	-94.15 	-93.51 	45.57 	45.24
Sibley  	-94.63 	-93.76 	44.73 	44.44
Stearns  	-95.13 	-94.05 	45.79 	45.27
Steele  	-93.41 	-93.04 	44.20 	43.84
Stevens  	-96.25 	-95.75 	45.78 	45.39
Swift  	-96.11 	-95.25 	45.43 	45.13
Todd  	-95.14 	-94.65 	46.38 	45.76
Traverse  	-96.86 	-96.25 	46.03 	45.56
Wabasha  	-92.56 	-91.85 	44.46 	44.10
Wadena  	-95.16 	-94.74 	46.82 	46.36
Waseca  	-93.77 	-93.40 	44.20 	43.84
Washington  	-93.03 	-92.73 	45.30 	44.74
Watonwan  	-94.86 	-94.36 	44.12 	43.84
Wilkin  	-96.75 	-96.28 	46.65 	46.00
Winona  	-92.29 	-91.27 	44.19 	43.84
Wright  	-94.26 	-93.51 	45.43 	44.97
Yellow Medicine  	-96.45 	-95.37 	44.95 	44.51
